Datetime,Pressure,Atmosphere,Altitude,Tbm,Tds
2016-03-27 10:17:58,101134,0.9981,15.91,25.6,27.3
2016-03-27 10:17:59,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:18:00,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:18:01,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:02,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:03,101122,0.9980,16.91,25.5,27.3
2016-03-27 10:18:04,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:05,101151,0.9983,14.50,25.6,27.3
2016-03-27 10:18:06,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:18:07,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:08,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:18:09,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:10,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:11,101128,0.9981,16.41,25.6,27.3
2016-03-27 10:18:12,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:13,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:14,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:15,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:18:16,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:18:17,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:18:18,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:18:19,101125,0.9980,16.66,25.6,27.3
2016-03-27 10:18:20,101128,0.9981,16.41,25.6,27.3
2016-03-27 10:18:22,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:23,101131,0.9981,16.16,25.6,27.3
2016-03-27 10:18:24,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:18:25,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:18:26,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:18:27,101148,0.9983,14.74,25.6,27.3
2016-03-27 10:18:28,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:18:29,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:18:30,101134,0.9981,15.91,25.6,27.3
2016-03-27 10:18:31,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:18:32,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:18:33,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:18:34,101142,0.9982,15.25,25.6,27.3
